script,wake_model,seed,method,turbine_id,x,y,AEP SS bins [GWh],AEP GB bins [GWh],runtime_sec,ss_bin_setup,gb_bin_setup,random_pct
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,28,425927.0,6149224.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,29,425995.0,6148668.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,30,426064.0,6148112.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,31,426132.0,6147556.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,32,426214.0,6151447.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,33,426282.0,6150891.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,34,426351.0,6150335.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,35,426419.0,6149779.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,36,426487.0,6149224.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,37,426555.0,6148668.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,38,426624.0,6148112.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,39,426692.0,6147556.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,40,426774.0,6151447.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,41,426842.0,6150891.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,42,426911.0,6150335.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,43,426979.0,6149779.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,44,427047.0,6149224.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,45,427115.0,6148668.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
