run_name,script,wake_model,seed,iteration,phase,AEP [GWh],elapsed_sec,aep_bin_source,ss_bin_setup,gb_bin_setup,random_pct
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,29,Gradient,713.9484099527167,647.5752300607361,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,30,Gradient,713.9484420508876,665.1262241180049,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,31,Gradient,713.9484459505809,682.6772181752738,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,32,Gradient,713.9484581743228,700.2282122325425,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,33,Gradient,713.948524973578,717.7792062898113,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,34,Gradient,713.9481559684367,735.3302003470802,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,35,Gradient,713.9485635230894,752.881194404349,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,36,Gradient,713.9486682616114,770.4321884616178,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,37,Gradient,713.9487737622911,787.9831825188867,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,38,Gradient,713.9490255356804,805.5341765761555,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,39,Gradient,713.9504302491149,823.0851706334242,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,40,Gradient,713.9549152118848,840.636164690693,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,41,Gradient,713.9579714038975,858.1871587479619,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,42,Gradient,713.9730882647559,875.7381528052307,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,43,Gradient,714.0108981477144,893.2891468624995,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,44,Gradient,714.1412465027715,910.8401409197684,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,45,Gradient,714.4510468416263,928.3911349770372,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,46,Gradient,714.45888424603,945.9421290343059,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,47,Gradient,714.4627734202685,963.4931230915748,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,48,Gradient,714.4633586664779,981.0441171488436,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,49,Gradient,714.4634356992283,998.5951112061124,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,50,Gradient,714.4634398806971,1016.1461052633813,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,51,Gradient,714.4633817605638,1033.69709932065,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,52,Gradient,714.4634464952951,1051.2480933779188,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,53,Gradient,714.463451419713,1068.7990874351876,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,54,Gradient,714.4634689485454,1086.3500814924564,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,55,Gradient,714.4635658305306,1103.9010755497252,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,56,Gradient,714.4640509909759,1121.4520696069942,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,57,Gradient,714.4664944477082,1139.003063664263,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,58,Gradient,714.4784137637348,1156.5540577215318,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,59,Gradient,714.5299969952493,1174.1050517788005,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,60,Gradient,714.6027492059113,1191.6560458360693,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,61,Gradient,714.6251050575839,1209.2070398933383,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,62,Gradient,714.635479875589,1226.7580339506071,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,63,Gradient,714.6369044851106,1244.309028007876,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,64,Gradient,714.6368487820829,1261.8600220651447,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,65,Gradient,714.6370053938133,1279.4110161224135,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,66,Gradient,714.6370687570247,1296.9620101796822,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,67,Gradient,714.6370757318296,1314.513004236951,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,68,Gradient,714.6370796694092,1332.06399829422,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,69,Gradient,714.6370901709745,1349.6149923514888,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,70,Gradient,714.6371741224204,1367.1659864087576,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,71,Gradient,714.6349613079153,1384.7169804660264,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,72,Gradient,714.6372300183898,1402.2679745232952,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,73,Gradient,714.6326086707336,1419.818968580564,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,74,Gradient,714.6373306265854,1437.369962637833,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
SS_GB_seed1,RunSS_GB_FullBins,NOJ,1,75,Gradient,714.6374632310965,1454.9209566951017,GB bins,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
