Pipeline,Mean AEP [GWh],Best AEP [GWh],Std. Dev. [GWh],Delta AEP [GWh],Delta AEP [%],Runtime [min]
Reference,701.8653557500002,,,,,
SS,712.3503523566454,712.5999260931527,0.2085628913181553,10.484996606645268,1.4938757869650365,2.2168777133336213
SS--2S,714.8433867283862,714.9942065854406,0.11402221791011773,12.978030978386073,1.8490770162772876,308.52500716166685
SS--GB,712.3503523566454,712.5999260931527,0.2085628913181553,10.484996606645268,1.4938757869650365,2.3307192243336856
SS--2S--GB,714.8433867283862,714.9942065854406,0.11402221791011773,12.978030978386073,1.8490770162772876,308.6248732333337
RS,715.1310135786432,715.3067586685179,0.1660368153499612,13.265657828643043,1.8900573621371595,19.467641987000047
RS--2S,715.3136905079404,715.5481589882329,0.21256987100131133,13.448334757940188,1.916084708807083,106.33987814033385
RS--GB,715.1310135786432,715.3067586685179,0.1660368153499612,13.265657828643043,1.8900573621371595,19.56021160866677
RS--2S--GB,715.3136905079404,715.5481589882329,0.21256987100131133,13.448334757940188,1.916084708807083,106.42096619100057
