script,source_script,source_opt_bin_label,source_method,layout_method,wake_model,seed,source_highres_AEP [GWh],gb_bin_setup,run_name,iteration,phase,AEP [GWh],elapsed_sec,aep_bin_source
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,23,Gradient,713.9442136467169,657.3838644757894,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,24,Gradient,713.9472877185372,685.9657716269107,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,25,Gradient,713.9479451728378,714.547678778032,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,26,Gradient,713.9478815056355,743.1295859291533,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,27,Gradient,713.9483253689449,771.7114930802746,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,28,Gradient,713.9482985026059,800.2934002313959,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,29,Gradient,713.9484099527297,828.8753073825171,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,30,Gradient,713.9484420508876,857.4572145336384,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,31,Gradient,713.9484459505828,886.0391216847597,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,32,Gradient,713.9484581743508,914.621028835881,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,33,Gradient,713.9485249735876,943.2029359870023,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,34,Gradient,713.9481559700371,971.7848431381236,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,35,Gradient,713.948563523211,1000.3667502892449,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,36,Gradient,713.9486682617958,1028.948657440366,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,37,Gradient,713.9487737626006,1057.5305645914875,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,38,Gradient,713.9490255365884,1086.1124717426087,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,39,Gradient,713.9504302526125,1114.69437889373,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,40,Gradient,713.9549151978584,1143.2762860448513,GB bins
