script,wake_model,seed,method,AEP [GWh],Improvement over Horns Rev [GWh],runtime_sec,iterations,random_step_schedule_D,wd_step_deg,n_wd,ws
ResultsRS,NOJ,1,Current Horns Rev,70.00978952706822,0.0,0.0,0,"[(20, 1200), (5, 400), (1, 400)]",5,72,9.6
ResultsRS,NOJ,1,RS,72.7205119198097,2.7107223927414736,1433.0904571999563,2000,"[(20, 1200), (5, 400), (1, 400)]",5,72,9.6
ResultsRS,NOJ,1,RS--2S,72.73590522105667,2.726115693988447,5492.301863799978,2160,"[(20, 1200), (5, 400), (1, 400)]",5,72,9.6
ResultsRS,NOJ,1,RS--GB,72.7205119198097,2.7107223927414736,1437.5070029999479,2200,"[(20, 1200), (5, 400), (1, 400)]",5,72,9.6
ResultsRS,NOJ,1,RS--2S--GB,72.73590522105667,2.726115693988447,5497.235054199991,2360,"[(20, 1200), (5, 400), (1, 400)]",5,72,9.6
