seed,random_pct,iteration,AEP [GWh]
1,0,1,0.9852548472611584
1,0,2,1.9702430865108589
1,0,3,2.954432858529491
1,0,4,3.938408775108176
1,0,5,4.9196167456734745
1,0,6,5.899422679519123
1,0,7,6.877311979859461
1,0,8,7.854620031468128
1,0,9,8.827541355186678
1,0,10,9.800502953699052
1,0,11,10.767036547717158
1,0,12,11.733376936886998
1,0,13,12.699290556849064
1,0,14,13.665181116024918
1,0,15,14.630729449656549
1,0,16,15.59157718765655
1,0,17,16.5450279193169
1,0,18,17.498967071697297
1,0,19,18.452452366923097
1,0,20,19.40324491080634
1,0,21,20.354060319607584
1,0,22,21.305284898992838
1,0,23,22.25383361756864
1,0,24,23.19813976894845
1,0,25,24.133244688270466
1,0,26,25.07371517818028
1,0,27,26.008664723217287
1,0,28,26.94059892673666
1,0,29,27.872610499553943
1,0,30,28.80639394714165
1,0,31,29.731503253725243
1,0,32,30.65992904231382
1,0,33,31.586326742580518
1,0,34,32.50615290829906
1,0,35,33.42179922190119
1,0,36,34.339340422245186
1,0,37,35.25631924423391
1,0,38,36.16495882415856
1,0,39,37.0694156414255
1,0,40,37.97580154922751
1,0,41,38.87770241341193
1,0,42,39.785171337330624
1,0,43,40.68896021711632
1,0,44,41.584922535828056
1,0,45,42.46016848228838
1,0,46,43.367778213993816
1,0,47,44.2619728186051
1,0,48,45.149913854727494
1,0,49,46.04199832274935
1,0,50,46.92902362862834
1,0,51,47.81837380621778
1,0,52,48.70211905886205
1,0,53,49.57738431840655
1,0,54,50.467270804330596
1,0,55,51.33946411957392
1,0,56,52.22324033152007
1,0,57,53.064277893141636
1,0,58,53.932390569622534
1,0,59,54.77986813171033
1,0,60,55.641080114829464
1,0,61,56.501460356673164
1,0,62,57.361807829251454
1,0,63,58.22137775516846
1,0,64,59.07161337237177
1,0,65,59.92279120766785
1,0,66,60.76687980267755
1,0,67,61.61399780442675
1,0,68,62.45339530609959
1,0,69,63.30000565600595
1,0,70,64.13433109160485
1,0,71,64.95787935177538
1,0,72,65.80105762963976
1,0,73,66.64140288442857
1,0,74,67.47764357712828
1,0,75,68.30597253504462
1,0,76,69.14681143181534
1,0,77,69.96774402863792
1,0,78,70.79468000204028
1,0,79,71.6210448365378
1,0,80,72.44812882393614
1,3,1,0.9852548472611584
1,3,2,1.970133713645061
1,3,3,2.9541291138672925
1,3,4,3.9375060707574896
1,3,5,4.9170680463581355
1,3,6,5.8965394325798535
1,3,7,6.873364113010092
1,3,8,7.847098092105858
1,3,9,8.824480435718748
1,3,10,9.798095608406637
1,3,11,10.768358651479058
1,3,12,11.735030851269379
1,3,13,12.692158739944432
1,3,14,13.653726503073546
1,3,15,14.613498768025158
1,3,16,15.569621940469013
