script,wake_model,seed,method,turbine_id,x,y,AEP [GWh],Surrogate AEP [GWh],runtime_sec,wd_step_deg,n_wd,ws,random_pct
ResultsSS,NOJ,1,Current Horns Rev,41,426842.0,6150891.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,42,426911.0,6150335.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,43,426979.0,6149779.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,44,427047.0,6149224.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,45,427115.0,6148668.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,46,427184.0,6148112.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,47,427252.0,6147556.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,48,427334.0,6151447.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,49,427402.0,6150891.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,50,427471.0,6150335.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,51,427539.0,6149779.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,52,427607.0,6149224.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,53,427675.0,6148668.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,54,427744.0,6148112.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,55,427812.0,6147556.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,56,427894.0,6151447.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,57,427962.0,6150891.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,58,428031.0,6150335.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,59,428099.0,6149779.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,60,428167.0,6149224.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,61,428235.0,6148668.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,62,428304.0,6148112.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,63,428372.0,6147556.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,64,428454.0,6151447.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,65,428522.0,6150891.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,66,428591.0,6150335.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,67,428659.0,6149779.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,68,428727.0,6149224.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,69,428795.0,6148668.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,70,428864.0,6148112.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,71,428932.0,6147556.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,72,429014.0,6151447.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,73,429082.0,6150891.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,74,429151.0,6150335.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,75,429219.0,6149779.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,76,429287.0,6149224.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,77,429355.0,6148668.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,Current Horns Rev,78,429424.0,6148112.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
