script,wake_model,seed,wd_step_deg,n_wd,ws,random_pct,method,AEP [GWh],Surrogate AEP [GWh],Improvement over Horns Rev [GWh],runtime_sec,iterations
ResultsSS,NOJ,1,10,36,9.6,10,Current Horns Rev,701.8653557500002,70.47447376426608,0.0,0.0,0
ResultsSS,NOJ,1,10,36,9.6,10,SmartStart,712.5999260931526,72.27765953724,10.734570343152427,121.50804469990544,0
ResultsSS,NOJ,2,10,36,9.6,10,Current Horns Rev,701.8653557500002,70.47447376426608,0.0,0.0,0
ResultsSS,NOJ,2,10,36,9.6,10,SmartStart,712.4610690302251,72.16181375217445,10.595713280224913,143.5082562000025,0
ResultsSS,NOJ,3,10,36,9.6,10,Current Horns Rev,701.8653557500002,70.47447376426608,0.0,0.0,0
ResultsSS,NOJ,3,10,36,9.6,10,SmartStart,712.3267720782877,72.17155513263042,10.461416328287555,149.8007590000052,0
ResultsSS,NOJ,4,10,36,9.6,10,Current Horns Rev,701.8653557500002,70.47447376426608,0.0,0.0,0
ResultsSS,NOJ,4,10,36,9.6,10,SmartStart,712.0367289169942,72.17276613115314,10.171373166994044,136.5357367999386,0
ResultsSS,NOJ,5,10,36,9.6,10,Current Horns Rev,701.8653557500002,70.47447376426608,0.0,0.0,0
ResultsSS,NOJ,5,10,36,9.6,10,SmartStart,712.3272656645684,72.20340380272847,10.461909914568196,135.72218109993264,0
