run_name,iteration,phase,AEP [GWh],elapsed_sec,using_site_bins
36wd_2ws,0,SmartStart,714.4277917562731,72.37264490127563,False
36wd_2ws,1,Two-step,714.5817309087715,94.30233330127521,False
36wd_2ws,2,Two-step,714.5817309087715,115.45084870127539,False
36wd_2ws,3,Two-step,714.5817309087715,137.5785190012757,False
36wd_2ws,4,Two-step,714.5817309087715,159.75693380127268,False
36wd_2ws,5,Two-step,714.5953978754558,181.096660801275,False
36wd_2ws,6,Two-step,714.6169169954975,202.76061590127574,False
36wd_2ws,7,Two-step,714.6169169954975,225.48098870127433,False
36wd_2ws,8,Two-step,714.6169169954975,246.79167040127504,False
36wd_2ws,9,Two-step,714.6370704753148,268.95391500127516,False
36wd_2ws,10,Two-step,714.7636778531784,290.91579590127367,False
36wd_2ws,11,Two-step,714.7751055321684,312.5911624012733,False
36wd_2ws,12,Two-step,714.7774618576086,334.33769800127266,False
36wd_2ws,13,Two-step,714.7774618576086,355.7487965012733,False
36wd_2ws,14,Two-step,714.7774618576086,377.66954290127615,False
36wd_2ws,15,Two-step,714.7774618576086,399.7292774012749,False
36wd_2ws,16,Two-step,714.8103436916952,421.1914198012746,False
36wd_2ws,17,Two-step,714.8103436916952,442.81155300127284,False
36wd_2ws,18,Two-step,714.8108710310216,465.10074870127573,False
36wd_2ws,19,Two-step,714.8504152985545,486.1617174012754,False
36wd_2ws,20,Two-step,714.9219806890419,507.58856500127513,False
36wd_2ws,21,Two-step,714.9219806890419,530.0483289012736,False
36wd_2ws,22,Two-step,714.9219806890419,551.3846884012746,False
36wd_2ws,23,Two-step,714.9219806890419,572.6936343012749,False
36wd_2ws,24,Two-step,714.9219806890419,594.7111807012734,False
36wd_2ws,25,Two-step,714.9405461803157,616.073646001274,False
36wd_2ws,26,Two-step,714.9405461803157,637.706994901273,False
36wd_2ws,27,Two-step,714.9405461803157,658.890913801275,False
36wd_2ws,28,Two-step,714.9405461803157,680.8170568012756,False
36wd_2ws,29,Two-step,714.9405461803157,702.1533335012755,False
36wd_2ws,30,Two-step,714.9604248413532,723.3566637012736,False
36wd_2ws,31,Two-step,714.9613057908591,744.8357891012747,False
36wd_2ws,32,Two-step,715.0084987408661,767.5830261012743,False
36wd_2ws,33,Two-step,715.0084987408661,788.8362733012727,False
36wd_2ws,34,Two-step,715.0084987408661,810.2236239012746,False
36wd_2ws,35,Two-step,715.0608888300521,833.1880748012736,False
36wd_2ws,36,Two-step,715.0608888300521,854.9890811012738,False
36wd_2ws,37,Two-step,715.0608888300521,877.1908654012732,False
36wd_2ws,38,Two-step,715.0608888300521,899.285486001274,False
36wd_2ws,39,Two-step,715.171697095178,921.4794624012757,False
36wd_2ws,40,Two-step,715.171697095178,943.6050519012751,False
36wd_2ws,41,Two-step,715.2332976929749,965.2993414012744,False
36wd_2ws,42,Two-step,715.2332976929749,987.4671743012732,False
36wd_2ws,43,Two-step,715.2576314586247,1009.4649736012761,False
36wd_2ws,44,Two-step,715.3723876279354,1032.988716601274,False
36wd_2ws,45,Two-step,715.3723876279354,1074.161360601276,False
36wd_2ws,46,Two-step,715.3723876279354,1113.7880334012734,False
36wd_2ws,47,Two-step,715.377000354083,1155.3798672012745,False
36wd_2ws,48,Two-step,715.377000354083,1196.5842798012745,False
36wd_2ws,49,Two-step,715.4646408173892,1237.303646401273,False
36wd_2ws,50,Two-step,715.4844339929452,1279.1405630012741,False
36wd_2ws,51,Two-step,715.4844339929452,1320.203958101276,False
36wd_2ws,52,Two-step,715.576881291609,1361.9155943012738,False
36wd_2ws,53,Two-step,715.5949791762173,1402.7582970012736,False
36wd_2ws,54,Two-step,715.5949791762173,1444.6726524012738,False
36wd_2ws,55,Two-step,715.5949791762173,1486.542876301275,False
36wd_2ws,56,Two-step,715.5949791762173,1527.907135201276,False
36wd_2ws,57,Two-step,715.5949791762173,1569.387024401276,False
36wd_2ws,58,Two-step,715.5949791762173,1610.7942117012753,False
36wd_2ws,59,Two-step,715.7031769614432,1652.2503776012745,False
36wd_2ws,60,Two-step,715.7031769614432,1693.2746796012761,False
36wd_2ws,61,Two-step,715.7031769614432,1734.9830300012727,False
36wd_2ws,62,Two-step,715.7031769614432,1777.3542221012758,False
36wd_2ws,63,Two-step,715.7031769614432,1817.646021501274,False
36wd_2ws,64,Two-step,715.727229110096,1859.1886174012761,False
36wd_2ws,65,Two-step,715.774097776173,1900.8123726012745,False
36wd_2ws,66,Two-step,715.8707315727751,1941.3669028012737,False
36wd_2ws,67,Two-step,715.9037488050878,1983.5101212012742,False
36wd_2ws,68,Two-step,715.9037488050878,2024.9708020012731,False
36wd_2ws,69,Two-step,715.9037488050878,2068.8720646012735,False
36wd_2ws,70,Two-step,715.9476964200142,2111.304720201275,False
36wd_2ws,71,Two-step,715.9956622421753,2152.809085101275,False
36wd_2ws,72,Two-step,715.9956622421753,2195.0209362012756,False
36wd_2ws,73,Two-step,715.9956622421753,2236.3694561012744,False
36wd_2ws,74,Two-step,715.9956622421753,2278.737639101273,False
36wd_2ws,75,Two-step,715.9956622421753,2319.695292801276,False
36wd_2ws,76,Two-step,716.0264919691232,2361.3881134012736,False
36wd_2ws,77,Two-step,716.1106715990195,2404.138989001276,False
36wd_2ws,78,Two-step,716.1106715990195,2445.7062031012756,False
36wd_2ws,79,Two-step,716.1630203440741,2487.471271401275,False
36wd_2ws,80,Two-step,716.2302542301585,2530.380461601275,False
36wd_2ws,81,Two-step,716.2302542301585,2571.9719647012753,False
36wd_2ws,82,Two-step,716.2302542301585,2612.9184919012732,False
36wd_2ws,83,Two-step,716.2302542301585,2655.9075018012736,False
36wd_2ws,84,Two-step,716.2302542301585,2697.8359778012746,False
36wd_2ws,85,Two-step,716.2302542301585,2740.468936901274,False
36wd_2ws,86,Two-step,716.2302542301585,2781.430559901273,False
36wd_2ws,87,Two-step,716.2302542301585,2823.028405801273,False
36wd_2ws,88,Two-step,716.2302542301585,2864.555334301276,False
36wd_2ws,89,Two-step,716.2302542301585,2906.0609791012757,False
36wd_2ws,90,Two-step,716.2302542301585,2947.987278001274,False
36wd_2ws,91,Two-step,716.2647080331963,2989.2318069012726,False
36wd_2ws,92,Two-step,716.2647080331963,3032.1761439012735,False
36wd_2ws,93,Two-step,716.2647080331963,3073.5255843012746,False
36wd_2ws,94,Two-step,716.2647080331963,3114.948450001273,False
36wd_2ws,95,Two-step,716.2647080331963,3157.2686883012757,False
36wd_2ws,96,Two-step,716.2647080331963,3199.226321601276,False
36wd_2ws,97,Two-step,716.2647080331963,3240.1106650012734,False
36wd_2ws,98,Two-step,716.2647080331963,3284.225981301275,False
36wd_2ws,99,Two-step,716.2647080331963,3324.919411601273,False
36wd_2ws,100,Two-step,716.2647080331963,3366.365232101274,False
36wd_2ws,101,Two-step,716.2647080331963,3409.1109875012735,False
36wd_2ws,102,Two-step,716.265101003447,3449.3072258012726,False
36wd_2ws,103,Two-step,716.265101003447,3491.363398401274,False
36wd_2ws,104,Two-step,716.2924953135819,3536.2111579012744,False
36wd_2ws,105,Two-step,716.2924953135819,3582.8622400012755,False
36wd_2ws,106,Two-step,716.318342701689,3624.130370101273,False
36wd_2ws,107,Two-step,716.318342701689,3666.6064973012726,False
36wd_2ws,108,Two-step,716.318342701689,3708.2960053012757,False
36wd_2ws,109,Two-step,716.318342701689,3749.9084100012733,False
36wd_2ws,110,Two-step,716.318342701689,3793.146747701274,False
36wd_2ws,111,Two-step,716.318342701689,3833.7331476012732,False
36wd_2ws,112,Two-step,716.318342701689,3876.847280701273,False
36wd_2ws,113,Two-step,716.318342701689,3918.7133684012733,False
36wd_2ws,114,Two-step,716.318342701689,3960.343686201275,False
36wd_2ws,115,Two-step,716.318342701689,4002.6281321012757,False
36wd_2ws,116,Two-step,716.318342701689,4045.0954004012747,False
36wd_2ws,117,Two-step,716.318342701689,4086.6325820012753,False
36wd_2ws,118,Two-step,716.318342701689,4128.451252901275,False
36wd_2ws,119,Two-step,716.318342701689,4170.738588701275,False
36wd_2ws,120,Two-step,716.318342701689,4212.737721501275,False
36wd_2ws,121,Two-step,716.3514964709714,4255.644137501273,False
36wd_2ws,122,Two-step,716.3514964709714,4297.375876701273,False
36wd_2ws,123,Two-step,716.3514964709714,4339.937735101274,False
36wd_2ws,124,Two-step,716.3597029830241,4382.835158801274,False
36wd_2ws,125,Two-step,716.3597029830241,4424.6192435012745,False
36wd_2ws,126,Two-step,716.3597029830241,4467.547607801276,False
36wd_2ws,127,Two-step,716.3597029830241,4509.253945001274,False
36wd_2ws,128,Two-step,716.3835043490977,4552.176041201274,False
36wd_2ws,129,Two-step,716.3835043490977,4594.130665801273,False
36wd_2ws,130,Two-step,716.3835043490977,4636.456542001273,False
36wd_2ws,131,Two-step,716.4199721034358,4678.179615101275,False
36wd_2ws,132,Two-step,716.4199721034358,4721.929216901273,False
36wd_2ws,133,Two-step,716.422833591843,4763.184041901273,False
36wd_2ws,134,Two-step,716.422833591843,4805.577388701273,False
36wd_2ws,135,Two-step,716.4602036477822,4848.910252101276,False
36wd_2ws,136,Two-step,716.4602036477822,4890.303218501274,False
36wd_2ws,137,Two-step,716.4602036477822,4934.159279001273,False
36wd_2ws,138,Two-step,716.5843285107437,4976.915664501274,False
36wd_2ws,139,Two-step,716.5843285107437,5019.105899701273,False
36wd_2ws,140,Two-step,716.5843285107437,5062.106515701271,False
36wd_2ws,141,Two-step,716.5843285107437,5105.990969701277,False
36wd_2ws,142,Two-step,716.5843285107437,5147.899597101277,False
36wd_2ws,143,Two-step,716.5843285107437,5190.576196301277,False
36wd_2ws,144,Two-step,716.6212723335534,5234.724462201273,False
36wd_2ws,145,Two-step,716.6212723335534,5276.250524301271,False
36wd_2ws,146,Two-step,716.6212723335534,5318.556676801272,False
36wd_2ws,147,Two-step,716.6212723335534,5362.035859101277,False
36wd_2ws,148,Two-step,716.6212723335534,5403.053521801274,False
36wd_2ws,149,Two-step,716.6212723335534,5444.599634301274,False
36wd_2ws,150,Two-step,716.6212723335534,5487.374943801275,False
36wd_2ws,151,Two-step,716.6212723335534,5528.791440801273,False
36wd_2ws,152,Two-step,716.6354524095933,5570.602789501274,False
36wd_2ws,153,Two-step,716.6354524095933,5614.986742701272,False
36wd_2ws,154,Two-step,716.6354524095933,5656.455782001278,False
36wd_2ws,155,Two-step,716.6354524095933,5699.564935101276,False
36wd_2ws,156,Two-step,716.6354524095933,5740.624355501277,False
36wd_2ws,157,Two-step,716.6354524095933,5782.929016501272,False
36wd_2ws,158,Two-step,716.6354524095933,5824.777037401276,False
36wd_2ws,159,Two-step,716.6354524095933,5867.1180572012745,False
36wd_2ws,160,Two-step,716.6354524095933,5909.793417801273,False
36wd_2ws,161,Two-step,716.6354524095933,5952.612902501278,False
36wd_2ws,162,Two-step,716.6354524095933,5994.6571776012715,False
36wd_2ws,163,Two-step,716.6354524095933,6035.649964601274,False
36wd_2ws,164,Two-step,716.6354524095933,6077.063050101271,False
36wd_2ws,165,Two-step,716.6354524095933,6119.030285901274,False
36wd_2ws,166,Two-step,716.6354524095933,6160.775698701276,False
36wd_2ws,167,Two-step,716.6354524095933,6202.944604401273,False
36wd_2ws,168,Two-step,716.6354524095933,6245.884858301273,False
36wd_2ws,169,Two-step,716.6354524095933,6288.963176801277,False
36wd_2ws,170,Two-step,716.6354524095933,6330.010564301272,False
36wd_2ws,171,Two-step,716.6354524095933,6373.230314101274,False
36wd_2ws,172,Two-step,716.6354524095933,6414.837171201274,False
36wd_2ws,173,Two-step,716.6354524095933,6456.623391801273,False
36wd_2ws,174,Two-step,716.6354524095933,6498.864414001277,False
36wd_2ws,175,Two-step,716.6354524095933,6540.911444801277,False
36wd_2ws,176,Two-step,716.6354524095933,6582.338988201278,False
36wd_2ws,177,Two-step,716.6354524095933,6625.383369101277,False
36wd_2ws,178,Two-step,716.6354524095933,6666.567047601275,False
36wd_2ws,179,Two-step,716.6354524095933,6708.243253001274,False
36wd_2ws,180,Two-step,716.6613197341278,6751.7144008012765,False
36wd_2ws,181,Two-step,716.6613197341278,6792.901974501277,False
36wd_2ws,182,Two-step,716.6613197341278,6835.696104301278,False
36wd_2ws,183,Two-step,716.6613197341278,6878.735505601275,False
36wd_2ws,184,Two-step,716.6613197341278,6920.921692101278,False
36wd_2ws,185,Two-step,716.6613197341278,6963.133392401272,False
36wd_2ws,186,Two-step,716.6613197341278,7005.6999892012755,False
36wd_2ws,187,Two-step,716.6613197341278,7047.559306401272,False
36wd_2ws,188,Two-step,716.6613197341278,7090.211638501278,False
36wd_2ws,189,Two-step,716.6613197341278,7132.394206501274,False
36wd_2ws,190,Two-step,716.6613197341278,7174.917535801273,False
36wd_2ws,191,Two-step,716.6613197341278,7222.7321878012735,False
