run_name,iteration,phase,AEP [GWh],elapsed_sec,using_site_bins
36wd_5p5ws,0,SmartStart,694.2869131367466,125.96897459030151,False
36wd_5p5ws,1,Two-step,694.3927818328609,160.14779319029913,False
36wd_5p5ws,2,Two-step,694.3927818328609,194.2264861902986,False
36wd_5p5ws,3,Two-step,694.3927818328609,230.93900939029845,False
36wd_5p5ws,4,Two-step,694.3927818328609,264.3337063903018,False
36wd_5p5ws,5,Two-step,694.3976822633923,298.78909539030064,False
36wd_5p5ws,6,Two-step,694.4182790627642,331.7165648902992,False
36wd_5p5ws,7,Two-step,694.4182790627642,365.97039059030067,False
36wd_5p5ws,8,Two-step,694.4182790627642,399.278743590301,False
36wd_5p5ws,9,Two-step,694.4290474463987,433.53477939029835,False
36wd_5p5ws,10,Two-step,694.5143467389059,467.16315559030045,False
36wd_5p5ws,11,Two-step,694.5143467389059,501.01782389029904,False
36wd_5p5ws,12,Two-step,694.5143467389059,535.6712870902993,False
36wd_5p5ws,13,Two-step,694.5143467389059,568.9200523903019,False
36wd_5p5ws,14,Two-step,694.5143467389059,602.5559440903016,False
36wd_5p5ws,15,Two-step,694.5143467389059,624.4082644902992,False
36wd_5p5ws,16,Two-step,694.547183457388,643.6628931902997,False
36wd_5p5ws,17,Two-step,694.547183457388,662.9384063903017,False
36wd_5p5ws,18,Two-step,694.549302048558,681.5784701902994,False
36wd_5p5ws,19,Two-step,694.5808687817043,700.045621990299,False
36wd_5p5ws,20,Two-step,694.5808687817043,718.612379890299,False
36wd_5p5ws,21,Two-step,694.5808687817043,738.2808106902994,False
36wd_5p5ws,22,Two-step,694.5808687817043,757.4494535902995,False
36wd_5p5ws,23,Two-step,694.5808687817043,775.937482990299,False
36wd_5p5ws,24,Two-step,694.5808687817043,794.3535030903004,False
36wd_5p5ws,25,Two-step,694.5808687817043,814.0075965903015,False
36wd_5p5ws,26,Two-step,694.5808687817043,833.2105054903004,False
36wd_5p5ws,27,Two-step,694.5808687817043,851.9657543903013,False
36wd_5p5ws,28,Two-step,694.5851555619191,871.4314039903002,False
36wd_5p5ws,29,Two-step,694.5851555619191,890.5498566903007,False
36wd_5p5ws,30,Two-step,694.6111870052086,910.9153069903005,False
36wd_5p5ws,31,Two-step,694.618545948071,930.5835541902998,False
36wd_5p5ws,32,Two-step,694.6495513866209,949.2883510903011,False
36wd_5p5ws,33,Two-step,694.6495513866209,968.6734954903004,False
36wd_5p5ws,34,Two-step,694.6495513866209,987.2167844903015,False
36wd_5p5ws,35,Two-step,694.6890900424094,1006.0642802902985,False
36wd_5p5ws,36,Two-step,694.695137554344,1025.5550598902992,False
36wd_5p5ws,37,Two-step,694.695137554344,1046.4156456903002,False
36wd_5p5ws,38,Two-step,694.695137554344,1067.6480330902996,False
36wd_5p5ws,39,Two-step,694.7709559774298,1090.1121917903001,False
36wd_5p5ws,40,Two-step,694.7709559774298,1112.1071277902993,False
36wd_5p5ws,41,Two-step,694.8362469360427,1133.5809075903016,False
36wd_5p5ws,42,Two-step,694.8362469360427,1156.5901309902983,False
36wd_5p5ws,43,Two-step,694.8886536881312,1178.7853416903017,False
36wd_5p5ws,44,Two-step,694.8886536881312,1201.2758612903017,False
36wd_5p5ws,45,Two-step,694.8886536881312,1223.2604388903019,False
36wd_5p5ws,46,Two-step,694.8886536881312,1245.1820653903014,False
36wd_5p5ws,47,Two-step,694.8886536881312,1268.0365977902984,False
36wd_5p5ws,48,Two-step,694.9213759347296,1289.2999375903019,False
36wd_5p5ws,49,Two-step,694.9881926346143,1311.3409949902998,False
36wd_5p5ws,50,Two-step,695.0191157750787,1333.2403110902997,False
36wd_5p5ws,51,Two-step,695.0191157750787,1355.2874159903004,False
36wd_5p5ws,52,Two-step,695.0590454033966,1378.0964744902994,False
36wd_5p5ws,53,Two-step,695.0940102545555,1400.0229640903017,False
36wd_5p5ws,54,Two-step,695.0940102545555,1421.9661591902986,False
36wd_5p5ws,55,Two-step,695.1067695834653,1444.8872280903015,False
36wd_5p5ws,56,Two-step,695.1067695834653,1466.564406490299,False
36wd_5p5ws,57,Two-step,695.1067695834653,1489.305274390299,False
36wd_5p5ws,58,Two-step,695.1067695834653,1511.4909062902989,False
36wd_5p5ws,59,Two-step,695.1067695834653,1533.9620328903002,False
36wd_5p5ws,60,Two-step,695.1067695834653,1556.3936153903014,False
36wd_5p5ws,61,Two-step,695.1067695834653,1578.312089090301,False
36wd_5p5ws,62,Two-step,695.1067695834653,1600.8677000903008,False
36wd_5p5ws,63,Two-step,695.1067695834653,1623.2259560903003,False
36wd_5p5ws,64,Two-step,695.1155311874043,1645.4016593902998,False
36wd_5p5ws,65,Two-step,695.1155311874043,1667.5774612903006,False
36wd_5p5ws,66,Two-step,695.2155679179923,1689.7657260902997,False
36wd_5p5ws,67,Two-step,695.2155679179923,1712.5901674902998,False
36wd_5p5ws,68,Two-step,695.2255712294286,1734.9305626903006,False
36wd_5p5ws,69,Two-step,695.2325004624217,1756.6135100903011,False
36wd_5p5ws,70,Two-step,695.2909154754567,1780.4457647903,False
36wd_5p5ws,71,Two-step,695.2909154754567,1804.5092403903,False
36wd_5p5ws,72,Two-step,695.2909154754567,1827.4819904903015,False
36wd_5p5ws,73,Two-step,695.2909154754567,1849.2499928903017,False
36wd_5p5ws,74,Two-step,695.2909154754567,1872.6912767903013,False
36wd_5p5ws,75,Two-step,695.2909154754567,1895.5649227903014,False
36wd_5p5ws,76,Two-step,695.3636572807916,1917.4955662903012,False
36wd_5p5ws,77,Two-step,695.3885217993386,1940.3372653902989,False
36wd_5p5ws,78,Two-step,695.3885217993386,1962.3211822902995,False
36wd_5p5ws,79,Two-step,695.4746003295813,1985.516007390299,False
36wd_5p5ws,80,Two-step,695.4746003295813,2007.6027770902983,False
36wd_5p5ws,81,Two-step,695.48147352061,2031.4850176902983,False
36wd_5p5ws,82,Two-step,695.48147352061,2054.124771790299,False
36wd_5p5ws,83,Two-step,695.48147352061,2077.062721390299,False
36wd_5p5ws,84,Two-step,695.48147352061,2100.6919335903003,False
36wd_5p5ws,85,Two-step,695.48147352061,2123.5596739903012,False
36wd_5p5ws,86,Two-step,695.48147352061,2146.1762335903004,False
36wd_5p5ws,87,Two-step,695.48147352061,2169.5195467902995,False
36wd_5p5ws,88,Two-step,695.48147352061,2193.3834297903013,False
36wd_5p5ws,89,Two-step,695.48147352061,2215.6008525903017,False
36wd_5p5ws,90,Two-step,695.48147352061,2237.6327277903,False
36wd_5p5ws,91,Two-step,695.5015195277044,2260.6788978902987,False
36wd_5p5ws,92,Two-step,695.5015195277044,2283.135495390299,False
36wd_5p5ws,93,Two-step,695.5015195277044,2305.977748990299,False
36wd_5p5ws,94,Two-step,695.5015195277044,2328.1768140903005,False
36wd_5p5ws,95,Two-step,695.5015195277044,2350.718080590301,False
36wd_5p5ws,96,Two-step,695.5015195277044,2373.531450390299,False
36wd_5p5ws,97,Two-step,695.5015195277044,2395.9560659903,False
36wd_5p5ws,98,Two-step,695.5064826495912,2419.429452390301,False
36wd_5p5ws,99,Two-step,695.5064826495912,2461.3784608903006,False
36wd_5p5ws,100,Two-step,695.5064826495912,2502.8955795902984,False
36wd_5p5ws,101,Two-step,695.5064826495912,2543.3181408903,False
36wd_5p5ws,102,Two-step,695.5064826495912,2585.946549390301,False
36wd_5p5ws,103,Two-step,695.5064826495912,2626.3093770902997,False
36wd_5p5ws,104,Two-step,695.5210639713457,2668.516521490299,False
36wd_5p5ws,105,Two-step,695.5210639713457,2711.3617487902993,False
36wd_5p5ws,106,Two-step,695.559645973127,2750.9508620903,False
36wd_5p5ws,107,Two-step,695.559645973127,2791.8835887903006,False
36wd_5p5ws,108,Two-step,695.559645973127,2831.7994268902985,False
36wd_5p5ws,109,Two-step,695.559645973127,2871.5161909903,False
36wd_5p5ws,110,Two-step,695.595830249584,2911.6562503903006,False
36wd_5p5ws,111,Two-step,695.595830249584,2951.401119790302,False
36wd_5p5ws,112,Two-step,695.595830249584,2989.306291090299,False
36wd_5p5ws,113,Two-step,695.595830249584,3031.7718515903,False
36wd_5p5ws,114,Two-step,695.595830249584,3073.0367769902987,False
36wd_5p5ws,115,Two-step,695.595830249584,3109.795155590302,False
36wd_5p5ws,116,Two-step,695.595830249584,3144.918844490301,False
36wd_5p5ws,117,Two-step,695.595830249584,3179.8528945903017,False
36wd_5p5ws,118,Two-step,695.621843531181,3215.1411976903,False
36wd_5p5ws,119,Two-step,695.621843531181,3250.7749209903013,False
36wd_5p5ws,120,Two-step,695.621843531181,3286.834735990302,False
36wd_5p5ws,121,Two-step,695.621843531181,3327.5783483902997,False
36wd_5p5ws,122,Two-step,695.621843531181,3363.242656190301,False
36wd_5p5ws,123,Two-step,695.621843531181,3398.9001598903014,False
36wd_5p5ws,124,Two-step,695.621843531181,3433.780007490299,False
36wd_5p5ws,125,Two-step,695.621843531181,3469.4339645902983,False
36wd_5p5ws,126,Two-step,695.621843531181,3504.2620759903,False
36wd_5p5ws,127,Two-step,695.621843531181,3540.497883190299,False
36wd_5p5ws,128,Two-step,695.621843531181,3575.5220564902993,False
36wd_5p5ws,129,Two-step,695.621843531181,3611.7754112902985,False
36wd_5p5ws,130,Two-step,695.621843531181,3649.1634868902984,False
36wd_5p5ws,131,Two-step,695.634440573059,3684.9524052903,False
36wd_5p5ws,132,Two-step,695.634440573059,3722.1462141902994,False
36wd_5p5ws,133,Two-step,695.634440573059,3758.185177990301,False
36wd_5p5ws,134,Two-step,695.634440573059,3795.5709946903007,False
36wd_5p5ws,135,Two-step,695.634440573059,3831.5777305902993,False
36wd_5p5ws,136,Two-step,695.634440573059,3868.3290880903005,False
36wd_5p5ws,137,Two-step,695.634440573059,3906.067271490301,False
36wd_5p5ws,138,Two-step,695.7014641709955,3943.7549738903,False
36wd_5p5ws,139,Two-step,695.7014641709955,3980.489797190301,False
36wd_5p5ws,140,Two-step,695.7014641709955,4018.2799256903018,False
36wd_5p5ws,141,Two-step,695.7014641709955,4055.619884990301,False
36wd_5p5ws,142,Two-step,695.7014641709955,4092.0959858903007,False
36wd_5p5ws,143,Two-step,695.7014641709955,4129.6071345903,False
36wd_5p5ws,144,Two-step,695.7494525454802,4167.8010323903,False
36wd_5p5ws,145,Two-step,695.7494525454802,4203.9404583903015,False
36wd_5p5ws,146,Two-step,695.7494525454802,4241.316582590302,False
36wd_5p5ws,147,Two-step,695.7494525454802,4278.535515490301,False
36wd_5p5ws,148,Two-step,695.7494525454802,4314.747269690299,False
36wd_5p5ws,149,Two-step,695.7494525454802,4352.1436161903,False
36wd_5p5ws,150,Two-step,695.7494525454802,4389.7644776903,False
36wd_5p5ws,151,Two-step,695.7688078403218,4426.079351890301,False
36wd_5p5ws,152,Two-step,695.7691756109914,4463.105456090299,False
36wd_5p5ws,153,Two-step,695.7691756109914,4501.542808690301,False
36wd_5p5ws,154,Two-step,695.7691756109914,4537.084139890299,False
36wd_5p5ws,155,Two-step,695.7691756109914,4572.6612511903,False
36wd_5p5ws,156,Two-step,695.7691756109914,4609.8235510903,False
36wd_5p5ws,157,Two-step,695.777048107049,4646.001408390301,False
36wd_5p5ws,158,Two-step,695.777048107049,4681.6449868903,False
36wd_5p5ws,159,Two-step,695.777048107049,4716.850528690302,False
36wd_5p5ws,160,Two-step,695.777048107049,4752.229851090298,False
36wd_5p5ws,161,Two-step,695.7935215497705,4789.0020159903,False
36wd_5p5ws,162,Two-step,695.7935215497705,4824.0087950903,False
36wd_5p5ws,163,Two-step,695.7935215497705,4860.164256890301,False
36wd_5p5ws,164,Two-step,695.7935215497705,4894.9820218903005,False
36wd_5p5ws,165,Two-step,695.7935215497705,4931.655435390301,False
36wd_5p5ws,166,Two-step,695.7935215497705,4967.605141390301,False
36wd_5p5ws,167,Two-step,695.8546482450545,5003.256191190299,False
36wd_5p5ws,168,Two-step,695.8546482450545,5038.442443890301,False
36wd_5p5ws,169,Two-step,695.8570375808617,5075.210238490301,False
36wd_5p5ws,170,Two-step,695.8570375808617,5110.7192356903,False
36wd_5p5ws,171,Two-step,695.8570375808617,5146.297768590299,False
36wd_5p5ws,172,Two-step,695.8570375808617,5181.8434536903005,False
36wd_5p5ws,173,Two-step,695.8570375808617,5217.1073581903,False
36wd_5p5ws,174,Two-step,695.8570375808617,5252.930483190299,False
36wd_5p5ws,175,Two-step,695.8570375808617,5288.927749790299,False
36wd_5p5ws,176,Two-step,695.8570375808617,5323.4505405903,False
