wake_model,bin_case,n_wd,n_ws,speed_mode,method,AEP [GWh],runtime_sec
NOJ,12wd_11ws,12,2,speed_bins,Baseline,758.3464815548651,0.11424112319946289
NOJ,12wd_11ws,12,2,speed_bins,SmartStart,758.9473744981942,75.500643491745
NOJ,12wd_11ws,12,2,speed_bins,SS--2S,759.4871316837658,5335.36500620842
NOJ,36wd_5p5ws,36,4,speed_bins,Baseline,685.6469792305994,0.29190587997436523
NOJ,36wd_5p5ws,36,4,speed_bins,SmartStart,694.2869131367466,125.96897459030151
NOJ,36wd_5p5ws,36,4,speed_bins,SS--2S,695.9038769839867,6978.84873509407
NOJ,36wd_2ws,36,11,speed_bins,Baseline,703.9564079589293,0.1265101432800293
NOJ,36wd_2ws,36,11,speed_bins,SmartStart,714.4277917562731,72.37264490127563
NOJ,36wd_2ws,36,11,speed_bins,SS--2S,716.6986473289678,9278.818019151688
NOJ,24wd_mean_ws,24,1,mean_ws,Baseline,70.21194741847633,0.1453697681427002
NOJ,24wd_mean_ws,24,1,mean_ws,SmartStart,72.53655882939303,123.13726925849915
NOJ,24wd_mean_ws,24,1,mean_ws,SS--2S,72.89193328839323,7817.429683446884
NOJ,36wd_mean_ws,36,1,mean_ws,Baseline,70.47447376426608,0.14221405982971191
NOJ,36wd_mean_ws,36,1,mean_ws,SmartStart,72.59491522721399,126.58142948150635
NOJ,36wd_mean_ws,36,1,mean_ws,SS--2S,73.08090623381639,8111.959802150726
NOJ,72wd_mean_ws,72,1,mean_ws,Baseline,70.00978952706822,0.36095142364501953
NOJ,72wd_mean_ws,72,1,mean_ws,SmartStart,72.44812882393614,127.86891603469849
NOJ,72wd_mean_ws,72,1,mean_ws,SS--2S,72.58650177523805,7216.667055845261
NOJ,site_bins_existing_csv,13,23,site_bins,SmartStart,714.0662667435868,88.15107846260071
NOJ,site_bins_existing_csv,13,23,site_bins,SS--2S,714.8099388041155,63828.50878906262
