run_name,script,wake_model,seed,iteration,phase,AEP [GWh],elapsed_sec,wd_step_deg,n_wd,ws
SS_seed1,ResultsSS,NOJ,1,52,Two-step,72.45402455694409,1687.891931799997,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,53,Two-step,72.45402455694409,1719.5231476000044,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,54,Two-step,72.45402455694409,1750.7407637999859,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,55,Two-step,72.46211930026979,1781.3588218999794,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,56,Two-step,72.46211930026979,1813.4976120999781,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,57,Two-step,72.46507220050589,1847.5623263000161,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,58,Two-step,72.46507220050589,1878.4221557999845,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,59,Two-step,72.46507220050589,1908.643238299992,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,60,Two-step,72.47201812401838,1939.2991281999857,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,61,Two-step,72.47201812401838,1970.0232329000137,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,62,Two-step,72.47201812401838,2001.006837999972,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,63,Two-step,72.48793438016183,2031.650357400009,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,64,Two-step,72.49801954415724,2062.102759399975,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,65,Two-step,72.49818525394514,2093.231776300003,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,66,Two-step,72.50276033160799,2124.7403526999988,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,67,Two-step,72.50276033160799,2155.8676844,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,68,Two-step,72.50276033160799,2187.970626300026,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,69,Two-step,72.50365961650522,2219.5128429000033,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,70,Two-step,72.50365961650522,2250.9386540999985,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,71,Two-step,72.51043009680723,2282.4216710000183,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,72,Two-step,72.51043009680723,2313.9159961999976,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,73,Two-step,72.51489002898909,2345.2858893999946,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,74,Two-step,72.51551320674636,2376.263826599985,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,75,Two-step,72.51551320674636,2406.6337436999893,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,76,Two-step,72.51551320674636,2437.9156378000043,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,77,Two-step,72.51945120082321,2469.699599099986,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,78,Two-step,72.52325573200629,2500.590958099987,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,79,Two-step,72.52325573200629,2531.0277333999984,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,80,Two-step,72.52325573200629,2562.1483588999836,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,81,Two-step,72.52325573200629,2592.7862211000174,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,82,Two-step,72.52325573200629,2623.299678099982,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,83,Two-step,72.52325573200629,2653.96654709999,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,84,Two-step,72.52325573200629,2684.694490499969,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,85,Two-step,72.52488784949573,2715.591417299991,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,86,Two-step,72.52488784949573,2746.514605399978,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,87,Two-step,72.52488784949573,2776.7009213999845,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,88,Two-step,72.52488784949573,2807.2228125000256,5,72,9.6
SS_seed1,ResultsSS,NOJ,1,89,Two-step,72.52488784949573,2837.6829906000057,5,72,9.6
