script,wake_model,seed,method,AEP [GWh],Surrogate AEP [GWh],Improvement over Horns Rev [GWh],runtime_sec,iterations,wd_step_deg,n_wd,ws,random_step_schedule_D,plot_AEP [GWh],Optimization AEP [GWh],Fine AEP [GWh],eval_wd_step_deg,eval_n_wd,eval_ws_step,eval_ws_min,eval_ws_max,Fine minus Optimization AEP [GWh]
ResultsSS,NOJ,3,SS--GB,712.3267720782877,72.0677044061938,10.461416328287555,114.70004309999058,2000,5,72,9.6,,712.3267720782876,72.0677044061938,712.3267720782876,1,360,1,3,25,640.2590676720938
ResultsSS,NOJ,3,SS--2S--GB,714.99420658544,72.62882984767117,13.128850835439836,22034.0751052,2720,5,72,9.6,,714.9942065854406,72.62882984767117,714.9942065854406,1,360,1,3,25,642.3653767377693
ResultsSS,NOJ,4,Current Horns Rev,701.8653557500002,70.00978952706822,0.0,0.0,0,5,72,9.6,,701.8653557500002,701.8653557500002,701.8653557500002,1,360,1,3,25,0.0
ResultsSS,NOJ,4,SS,712.0367289169942,72.03257352447444,10.171373166994044,148.5304927000543,0,5,72,9.6,,712.036728916994,72.03257352447444,712.036728916994,1,360,1,3,25,640.0041553925196
ResultsSS,NOJ,4,SS--2S,714.6826359487981,72.58314841801452,12.817280198797905,14874.05169600004,400,5,72,9.6,,714.6826359487975,72.58314841801452,714.6826359487975,1,360,1,3,25,642.099487530783
ResultsSS,NOJ,4,SS--GB,712.0367289169942,72.03257352447444,10.171373166994044,156.61965270002838,2000,5,72,9.6,,712.036728916994,72.03257352447444,712.036728916994,1,360,1,3,25,640.0041553925196
ResultsSS,NOJ,4,SS--2S--GB,714.6826359487981,72.58314841801452,12.817280198797905,14880.538580200053,2400,5,72,9.6,,714.6826359487975,72.58314841801452,714.6826359487975,1,360,1,3,25,642.099487530783
ResultsSS,NOJ,5,Current Horns Rev,701.8653557500002,70.00978952706822,0.0,0.0,0,5,72,9.6,,701.8653557500002,701.8653557500002,701.8653557500002,1,360,1,3,25,0.0
ResultsSS,NOJ,5,SS,712.3272656645684,72.09283859113029,10.461909914568196,156.50538350001443,0,5,72,9.6,,712.3272656645681,72.09283859113029,712.3272656645681,1,360,1,3,25,640.2344270734378
ResultsSS,NOJ,5,SS--2S,714.8439713195794,72.61645666504026,12.978615569579231,26169.561801000036,640,5,72,9.6,,714.8439713195792,72.61645666504026,714.8439713195792,1,360,1,3,25,642.2275146545389
ResultsSS,NOJ,5,SS--GB,712.3272656645684,72.09283859113029,10.461909914568196,160.7387788000633,2000,5,72,9.6,,712.3272656645681,72.09283859113029,712.3272656645681,1,360,1,3,25,640.2344270734378
ResultsSS,NOJ,5,SS--2S--GB,714.8439713195794,72.61645666504026,12.978615569579231,26173.469150900022,2640,5,72,9.6,,714.8439713195792,72.61645666504026,714.8439713195792,1,360,1,3,25,642.2275146545389
ResultsRS,NOJ,1,Current Horns Rev,70.00978952706822,,0.0,0.0,0,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",701.8653557500002,70.00978952706822,701.8653557500002,1,360,1,3,25,631.8555662229319
ResultsRS,NOJ,1,RS,72.7205119198097,,2.7107223927414736,1134.426101500052,2000,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",715.1495892124769,72.7205119198097,715.1495892124769,1,360,1,3,25,642.4290772926672
ResultsRS,NOJ,1,RS--2S,72.73590522105667,,2.726115693988447,5028.222632400051,2160,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",715.2059035295349,72.73590522105667,715.2059035295349,1,360,1,3,25,642.4699983084782
ResultsRS,NOJ,1,RS--GB,72.7205119198097,,2.7107223927414736,1139.7389794000192,2200,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",715.1495892124769,72.7205119198097,715.1495892124769,1,360,1,3,25,642.4290772926672
ResultsRS,NOJ,1,RS--2S--GB,72.73590522105667,,2.726115693988447,5033.440341700043,2360,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",715.2059035295349,72.73590522105667,715.2059035295349,1,360,1,3,25,642.4699983084782
ResultsRS,NOJ,2,Current Horns Rev,70.00978952706822,,0.0,0.0,0,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",701.8653557500002,70.00978952706822,701.8653557500002,1,360,1,3,25,631.8555662229319
ResultsRS,NOJ,2,RS,72.68453727541878,,2.674747748350555,1089.8250384999556,2000,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",714.8628386376877,72.68453727541878,714.8628386376877,1,360,1,3,25,642.1783013622689
ResultsRS,NOJ,2,RS--2S,72.71895188311385,,2.709162356045624,6899.49033629999,2240,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",715.0286888365631,72.71895188311385,715.0286888365631,1,360,1,3,25,642.3097369534493
ResultsRS,NOJ,2,RS--GB,72.68453727541878,,2.674747748350555,1095.7809474999667,2200,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",714.8628386376877,72.68453727541878,714.8628386376877,1,360,1,3,25,642.1783013622689
ResultsRS,NOJ,2,RS--2S--GB,72.71895188311385,,2.709162356045624,6904.9110398999765,2440,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",715.0286888365631,72.71895188311385,715.0286888365631,1,360,1,3,25,642.3097369534493
ResultsRS,NOJ,3,Current Horns Rev,70.00978952706822,,0.0,0.0,0,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",701.8653557500002,70.00978952706822,701.8653557500002,1,360,1,3,25,631.8555662229319
ResultsRS,NOJ,3,RS,72.7609069222784,,2.751117395210173,1263.6489425000036,2000,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",715.2148260994957,72.7609069222784,715.2148260994957,1,360,1,3,25,642.4539191772172
ResultsRS,NOJ,3,RS--2S,72.80514227303141,,2.7953527459631857,5801.145760400046,2160,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",715.4938251155713,72.80514227303141,715.4938251155713,1,360,1,3,25,642.68868284254
ResultsRS,NOJ,3,RS--GB,72.7609069222784,,2.751117395210173,1271.254364399996,2200,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",715.2148260994957,72.7609069222784,715.2148260994957,1,360,1,3,25,642.4539191772172
ResultsRS,NOJ,3,RS--2S--GB,72.80514227303141,,2.7953527459631857,5807.106058800069,2360,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",715.4938251155713,72.80514227303141,715.4938251155713,1,360,1,3,25,642.68868284254
ResultsRS,NOJ,4,Current Horns Rev,70.00978952706822,,0.0,0.0,0,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",701.8653557500002,70.00978952706822,701.8653557500002,1,360,1,3,25,631.8555662229319
ResultsRS,NOJ,4,RS,72.77830298012309,,2.768513453054865,1374.8533893999993,2000,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",715.3067586685179,72.77830298012309,715.3067586685179,1,360,1,3,25,642.5284556883948
ResultsRS,NOJ,4,RS--2S,72.83751909373402,,2.827729566665795,6393.100441000017,2160,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",715.5481589882329,72.83751909373402,715.5481589882329,1,360,1,3,25,642.7106398944989
ResultsRS,NOJ,4,RS--GB,72.77830298012309,,2.768513453054865,1378.362300000037,2200,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",715.3067586685179,72.77830298012309,715.3067586685179,1,360,1,3,25,642.5284556883948
ResultsRS,NOJ,4,RS--2S--GB,72.83751909373402,,2.827729566665795,6396.718489699997,2360,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",715.5481589882329,72.83751909373402,715.5481589882329,1,360,1,3,25,642.7106398944989
ResultsRS,NOJ,5,Current Horns Rev,70.00978952706822,,0.0,0.0,0,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",701.8653557500002,70.00978952706822,701.8653557500002,1,360,1,3,25,631.8555662229319
ResultsRS,NOJ,5,RS,72.72417744440158,,2.7143879173333545,977.5391242000042,2000,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",715.1210552750379,72.72417744440158,715.1210552750379,1,360,1,3,25,642.3968778306363
ResultsRS,NOJ,5,RS--2S,72.75531790251912,,2.7455283754509026,7780.004272000049,2240,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",715.2918760697996,72.75531790251912,715.2918760697996,1,360,1,3,25,642.5365581672805
ResultsRS,NOJ,5,RS--GB,72.72417744440158,,2.7143879173333545,982.9268913000124,2200,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",715.1210552750379,72.72417744440158,715.1210552750379,1,360,1,3,25,642.3968778306363
ResultsRS,NOJ,5,RS--2S--GB,72.75531790251912,,2.7455283754509026,7784.113927200087,2440,5,72,9.6,"[(20, 1200), (5, 400), (1, 400)]",715.2918760697996,72.75531790251912,715.2918760697996,1,360,1,3,25,642.5365581672805
