script,wake_model,seed,method,AEP [GWh],Improvement over Horns Rev [GWh],runtime_sec,iterations,random_step_schedule_D,wd_step_deg,n_wd,ws
ResultsRS,NOJ,1,Current Horns Rev,70.00978952706822,0.0,0.0,0,"[(20, 1200), (5, 400), (1, 400)]",5,72,9.6
ResultsRS,NOJ,1,RS,72.7205119198097,2.7107223927414736,825.9625781999785,2000,"[(20, 1200), (5, 400), (1, 400)]",5,72,9.6
ResultsRS,NOJ,1,RS--2S,72.73590522105667,2.726115693988447,4663.195181399991,2160,"[(20, 1200), (5, 400), (1, 400)]",5,72,9.6
ResultsRS,NOJ,1,RS--GB,72.7205119198097,2.7107223927414736,832.6746050000074,2200,"[(20, 1200), (5, 400), (1, 400)]",5,72,9.6
ResultsRS,NOJ,1,RS--2S--GB,72.73590522105667,2.726115693988447,4670.210546499991,2360,"[(20, 1200), (5, 400), (1, 400)]",5,72,9.6
