seed,spacing_D,iteration,AEP [GWh]
1,5,55,51.1569357693112
1,5,56,52.036987246703134
1,5,57,52.90453203134513
1,5,58,53.77761383439915
1,5,59,54.63893042065223
1,5,60,55.48537097096015
1,5,61,56.34691429539488
1,5,62,57.20862250935492
1,5,63,58.08245674131064
1,5,64,58.93874965279641
1,5,65,59.77625433918041
1,5,66,60.61139960983344
1,5,67,61.470220067891916
1,5,68,62.30462450799987
1,5,69,63.13782773318772
1,5,70,63.97208489882999
1,5,71,64.8093054365151
1,5,72,65.67202613578931
1,5,73,66.50151729040944
1,5,74,67.33530239256342
1,5,75,68.17852752869038
1,5,76,69.00977125162255
1,5,77,69.86130370870626
1,5,78,70.68548674405997
1,5,79,71.502402155091
1,5,80,72.31562333858501
2,3,1,0.9852548472611584
2,3,2,1.9689472655700142
2,3,3,2.9520473252896084
2,3,4,3.9357937419602838
2,3,5,4.916321026006873
2,3,6,5.889880278317425
2,3,7,6.864978923080676
2,3,8,7.839609241784435
2,3,9,8.814261329733567
2,3,10,9.784970274116233
2,3,11,10.746689372379674
2,3,12,11.71095150107804
2,3,13,12.673570662644046
2,3,14,13.633747467430553
2,3,15,14.590347464802203
2,3,16,15.552030484034692
2,3,17,16.510144181510086
2,3,18,17.45001051624554
2,3,19,18.38861563709789
2,3,20,19.319129594124735
2,3,21,20.252503686302504
2,3,22,21.19277238987097
2,3,23,22.12774822492298
2,3,24,23.07666101886263
2,3,25,24.014683100614867
2,3,26,24.951201864459
2,3,27,25.849745830583377
2,3,28,26.770699687090037
2,3,29,27.694897624588506
2,3,30,28.617196256547068
2,3,31,29.566617917389127
2,3,32,30.47713750912292
2,3,33,31.393210275954758
2,3,34,32.30980390202941
2,3,35,33.220649248640086
2,3,36,34.093627547446374
2,3,37,35.00750447543436
2,3,38,35.913251549029454
2,3,39,36.84706657924202
2,3,40,37.75748449135554
2,3,41,38.67797492679175
2,3,42,39.59155842218119
2,3,43,40.46449844992836
2,3,44,41.34311561818312
2,3,45,42.22880472622691
2,3,46,43.11731924682826
2,3,47,44.027839587186946
2,3,48,44.89322859939041
2,3,49,45.77320100192205
2,3,50,46.667178238066526
2,3,51,47.52353092854217
2,3,52,48.40084158638362
2,3,53,49.242566362675305
2,3,54,50.109662934461454
2,3,55,50.93557071859344
2,3,56,51.81018786881798
2,3,57,52.70940448482769
2,3,58,53.59238292146622
2,3,59,54.46171334744581
2,3,60,55.323618538451186
2,3,61,56.17814105398625
2,3,62,57.026860902461465
2,3,63,57.885479836874794
2,3,64,58.74521853563074
2,3,65,59.59863868410111
2,3,66,60.46614804367873
2,3,67,61.32374502577897
2,3,68,62.19857799420675
2,3,69,63.0537977745433
2,3,70,63.90397751393112
2,3,71,64.74163939920791
2,3,72,65.5779871928694
2,3,73,66.41129631724732
2,3,74,67.25207066395583
2,3,75,68.07536812042586
2,3,76,68.91592893738306
2,3,77,69.74545525968844
2,3,78,70.58959558203918
2,3,79,71.40192104454124
2,3,80,72.19957925017121
2,4,1,0.9852548472611584
2,4,2,1.9689472655700142
2,4,3,2.9520473252896084
2,4,4,3.935927804168239
2,4,5,4.917830725075747
2,4,6,5.891432171211554
2,4,7,6.867202414939713
2,4,8,7.843351865457705
2,4,9,8.812521052648083
2,4,10,9.782805025981805
2,4,11,10.745585190745484
2,4,12,11.707435732641683
2,4,13,12.666272782560474
2,4,14,13.627157114646955
2,4,15,14.59194407330688
2,4,16,15.535500018076982
2,4,17,16.498545221597197
2,4,18,17.43717753088029
2,4,19,18.392326879948435
2,4,20,19.328790766396843
2,4,21,20.26657723304956
2,4,22,21.204040729549718
2,4,23,22.1501948350283
2,4,24,23.087896279886518
2,4,25,24.037686772851917
2,4,26,24.963302870874983
2,4,27,25.913139876974014
2,4,28,26.832897401261363
2,4,29,27.748652471220304
2,4,30,28.663612555055586
2,4,31,29.601277386842924
2,4,32,30.520329673556233
2,4,33,31.443901482751976
2,4,34,32.36310300566238
2,4,35,33.29080800810419
2,4,36,34.17832155675178
2,4,37,35.08692674056937
2,4,38,35.992343382434235
2,4,39,36.91715667854582
2,4,40,37.820393157790136
2,4,41,38.71353659537842
2,4,42,39.60467830634503
2,4,43,40.49847673246906
2,4,44,41.40701741183219
2,4,45,42.28761631250027
2,4,46,43.17143608006481
2,4,47,44.09056202670117
2,4,48,44.97904967381112
2,4,49,45.861184392811765
2,4,50,46.726824403741574
2,4,51,47.61910451042384
2,4,52,48.488975621690145
2,4,53,49.35976520259509
2,4,54,50.22235527158351
2,4,55,51.07660297653969
2,4,56,51.95805572652402
2,4,57,52.827107322453855
2,4,58,53.67896685418145
2,4,59,54.56621200176274
2,4,60,55.431654651375126
2,4,61,56.3112099073971
2,4,62,57.164714095802076
2,4,63,58.01649184033313
2,4,64,58.88341352505452
2,4,65,59.755502186414816
2,4,66,60.60524248774338
2,4,67,61.45473452654588
2,4,68,62.311823521256755
2,4,69,63.153413995610975
2,4,70,64.00243824060499
2,4,71,64.84377709792813
2,4,72,65.63984669931895
2,4,73,66.46791968392212
2,4,74,67.28462255220039
2,4,75,68.10718204598481
2,4,76,68.89507601361014
2,4,77,69.70551741250895
2,4,78,70.52203200300367
2,4,79,71.33861383436656
2,4,80,72.16181375217445
2,5,1,0.9852548472611584
2,5,2,1.9689472655700142
2,5,3,2.9520473252896084
2,5,4,3.935927804168239
2,5,5,4.918763389558137
2,5,6,5.892138464604825
2,5,7,6.867872053781996
2,5,8,7.843209776336137
2,5,9,8.818862235831064
2,5,10,9.787365408035203
2,5,11,10.754849938146073
2,5,12,11.71130301936962
2,5,13,12.672825985426849
2,5,14,13.637133399002987
2,5,15,14.592359847686392
2,5,16,15.551318739527133
2,5,17,16.50472287635546
2,5,18,17.44529644286279
2,5,19,18.39693428898908
2,5,20,19.33207799058782
2,5,21,20.26487714490728
2,5,22,21.209408463977212
2,5,23,22.14354695508584
2,5,24,23.098028130886433
2,5,25,24.04954274382101
2,5,26,24.961115397774513
