script,wake_model,seed,method,AEP [GWh],Surrogate AEP [GWh],Improvement over Horns Rev [GWh],runtime_sec,iterations,wd_step_deg,n_wd,ws,source_file,opt_bin_label,random_step_schedule_D,plot_AEP [GWh],Optimization AEP [GWh],Fine AEP [GWh],eval_wd_step_deg,eval_n_wd,eval_ws_step,eval_ws_min,eval_ws_max,Fine minus Optimization AEP [GWh]
ResultsSS,NOJ,1,Current Horns Rev,701.8653557500002,70.47447376426608,0.0,0.0,0,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,701.8653557500002,701.8653557500002,701.8653557500002,1,360,1,3,25,0.0
ResultsSS,NOJ,1,SS,712.5999260931526,72.27765953724,10.734570343152429,120.81859369995072,0,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,712.5999260931527,72.27765953724,712.5999260931527,1,360,1,3,25,640.3222665559127
ResultsSS,NOJ,1,SS--2S,714.5663652998835,73.10867455617128,12.701009549883338,25726.132000999933,640,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,714.5663652998837,73.10867455617128,714.5663652998837,1,360,1,3,25,641.4576907437124
ResultsSS,NOJ,1,SS--2S--GB,714.5663652998835,73.10867455617128,12.701009549883338,25734.67157049995,2640,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,714.5663652998837,73.10867455617128,714.5663652998837,1,360,1,3,25,641.4576907437124
ResultsSS,NOJ,1,SS--GB,713.2117641175525,72.72774073245121,11.346408367552383,934.9636634999188,2000,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,713.2117641175521,72.27765953724,713.2117641175521,1,360,1,3,25,640.9341045803121
ResultsSS,NOJ,2,Current Horns Rev,701.8653557500002,70.47447376426608,0.0,0.0,0,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,701.8653557500002,701.8653557500002,701.8653557500002,1,360,1,3,25,0.0
ResultsSS,NOJ,2,SS,712.4610690302251,72.16181375217445,10.595713280224912,108.97275720001198,0,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,712.4610690302246,72.16181375217445,712.4610690302246,1,360,1,3,25,640.2992552780502
ResultsSS,NOJ,2,SS--2S,714.740422753756,73.09997469475901,12.875067003755817,24813.190159499994,720,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,714.7404227537563,73.09997469475901,714.7404227537563,1,360,1,3,25,641.6404480589973
ResultsSS,NOJ,2,SS--2S--GB,714.740422753756,73.09997469475901,12.875067003755817,24819.367239200044,2720,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,714.7404227537563,73.09997469475901,714.7404227537563,1,360,1,3,25,641.6404480589973
ResultsSS,NOJ,2,SS--GB,712.9645141774247,72.64255057506472,11.099158427424529,560.4803521999856,2000,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,712.9645141774247,72.16181375217445,712.9645141774247,1,360,1,3,25,640.8027004252502
