run_name,seed,iteration,phase,AEP [GWh],elapsed_sec,using_site_bins
360wd_mean_ws_1deg,3,0,SmartStart,72.18815975067037,113.56663393974304,False
360wd_mean_ws_1deg,3,1,Two-step,72.20360874028984,158.01929873976042,False
360wd_mean_ws_1deg,3,2,Two-step,72.24342757163251,201.8594809397473,False
360wd_mean_ws_1deg,3,3,Two-step,72.2754917709317,243.80604603973916,False
360wd_mean_ws_1deg,3,4,Two-step,72.2754917709317,287.4341628397524,False
360wd_mean_ws_1deg,3,5,Two-step,72.2754917709317,329.9700287397427,False
360wd_mean_ws_1deg,3,6,Two-step,72.2754917709317,371.4602478397428,False
360wd_mean_ws_1deg,3,7,Two-step,72.29752720907157,415.0152945397422,False
360wd_mean_ws_1deg,3,8,Two-step,72.31018940169781,458.15875983974547,False
360wd_mean_ws_1deg,3,9,Two-step,72.31147671952522,500.48588103975635,False
360wd_mean_ws_1deg,3,10,Two-step,72.31147671952522,544.0554570397362,False
360wd_mean_ws_1deg,3,11,Two-step,72.31466440649834,586.6787769397488,False
360wd_mean_ws_1deg,3,12,Two-step,72.31466440649834,627.8627052397351,False
360wd_mean_ws_1deg,3,13,Two-step,72.33102222851356,671.0388467397424,False
360wd_mean_ws_1deg,3,14,Two-step,72.34873572167781,712.7404892397462,False
360wd_mean_ws_1deg,3,15,Two-step,72.34873572167781,755.3593659397447,False
360wd_mean_ws_1deg,3,16,Two-step,72.34873572167781,798.8305723397352,False
360wd_mean_ws_1deg,3,17,Two-step,72.35729428399323,843.003680939757,False
360wd_mean_ws_1deg,3,18,Two-step,72.35729428399323,885.6250340397528,False
360wd_mean_ws_1deg,3,19,Two-step,72.35729428399323,929.6366073397512,False
360wd_mean_ws_1deg,3,20,Two-step,72.35877746873513,972.8727697397408,False
360wd_mean_ws_1deg,3,21,Two-step,72.35877746873513,1015.60698923975,False
360wd_mean_ws_1deg,3,22,Two-step,72.35877746873513,1059.5270121397625,False
360wd_mean_ws_1deg,3,23,Two-step,72.37487861243234,1103.8296031397476,False
360wd_mean_ws_1deg,3,24,Two-step,72.37530745578422,1147.331555139739,False
360wd_mean_ws_1deg,3,25,Two-step,72.37530745578422,1189.7849647397525,False
360wd_mean_ws_1deg,3,26,Two-step,72.37530745578422,1233.9215795397467,False
360wd_mean_ws_1deg,3,27,Two-step,72.37530745578422,1276.6801402397396,False
360wd_mean_ws_1deg,3,28,Two-step,72.37530745578422,1317.8666430397425,False
360wd_mean_ws_1deg,3,29,Two-step,72.37530745578422,1361.5106067397573,False
360wd_mean_ws_1deg,3,30,Two-step,72.37530745578422,1404.6883288397512,False
360wd_mean_ws_1deg,3,31,Two-step,72.37722225128314,1447.939810639742,False
360wd_mean_ws_1deg,3,32,Two-step,72.37722225128314,1491.3642120397417,False
360wd_mean_ws_1deg,3,33,Two-step,72.37765163643236,1533.9790682397434,False
360wd_mean_ws_1deg,3,34,Two-step,72.37765163643236,1575.6102571397496,False
360wd_mean_ws_1deg,3,35,Two-step,72.37765163643236,1618.2630465397378,False
360wd_mean_ws_1deg,3,36,Two-step,72.37765163643236,1661.3256009397446,False
360wd_mean_ws_1deg,3,37,Two-step,72.38410483417387,1703.7675173397583,False
360wd_mean_ws_1deg,3,38,Two-step,72.40277415552796,1748.0235014397476,False
360wd_mean_ws_1deg,3,39,Two-step,72.42153964974617,1791.8724050397577,False
360wd_mean_ws_1deg,3,40,Two-step,72.42153964974617,1835.7753069397586,False
360wd_mean_ws_1deg,3,41,Two-step,72.42153964974617,1879.792294139741,False
360wd_mean_ws_1deg,3,42,Two-step,72.42153964974617,1923.7556239397381,False
360wd_mean_ws_1deg,3,43,Two-step,72.42153964974617,1969.532853539742,False
360wd_mean_ws_1deg,3,44,Two-step,72.42153964974617,2013.722716939752,False
360wd_mean_ws_1deg,3,45,Two-step,72.42153964974617,2057.306382339739,False
360wd_mean_ws_1deg,3,46,Two-step,72.42153964974617,2099.3195159397437,False
360wd_mean_ws_1deg,3,47,Two-step,72.42153964974617,2143.0084302397445,False
360wd_mean_ws_1deg,3,48,Two-step,72.43957691251768,2187.8433082397387,False
360wd_mean_ws_1deg,3,49,Two-step,72.43957691251768,2233.041682839743,False
360wd_mean_ws_1deg,3,50,Two-step,72.43957691251768,2278.616520039737,False
360wd_mean_ws_1deg,3,51,Two-step,72.43957691251768,2324.1034166397585,False
360wd_mean_ws_1deg,3,52,Two-step,72.43957691251768,2368.396314539743,False
360wd_mean_ws_1deg,3,53,Two-step,72.43957691251768,2411.967863739759,False
360wd_mean_ws_1deg,3,54,Two-step,72.43957691251768,2457.6729204397416,False
360wd_mean_ws_1deg,3,55,Two-step,72.43957691251768,2501.38653203976,False
360wd_mean_ws_1deg,3,56,Two-step,72.43957691251768,2545.121300339757,False
360wd_mean_ws_1deg,3,57,Two-step,72.45037770527631,2589.1159868397517,False
360wd_mean_ws_1deg,3,58,Two-step,72.45037770527631,2632.200056139758,False
360wd_mean_ws_1deg,3,59,Two-step,72.45268143939461,2674.702421939757,False
360wd_mean_ws_1deg,3,60,Two-step,72.46907745443771,2717.893473739736,False
360wd_mean_ws_1deg,3,61,Two-step,72.48198421044367,2760.1864900397486,False
360wd_mean_ws_1deg,3,62,Two-step,72.48198421044367,2804.638243739755,False
360wd_mean_ws_1deg,3,63,Two-step,72.4857089133645,2848.9437525397516,False
360wd_mean_ws_1deg,3,64,Two-step,72.4857089133645,2893.038994839735,False
360wd_mean_ws_1deg,3,65,Two-step,72.4857089133645,2937.204983439762,False
360wd_mean_ws_1deg,3,66,Two-step,72.4857089133645,2980.0999088397366,False
360wd_mean_ws_1deg,3,67,Two-step,72.4857089133645,3023.5176068397413,False
360wd_mean_ws_1deg,3,68,Two-step,72.48814925828916,3068.2418607397412,False
360wd_mean_ws_1deg,3,69,Two-step,72.48814925828916,3110.5725387397397,False
360wd_mean_ws_1deg,3,70,Two-step,72.48814925828916,3153.2079131397477,False
360wd_mean_ws_1deg,3,71,Two-step,72.48814925828916,3201.1292693397554,False
360wd_mean_ws_1deg,3,72,Two-step,72.48814925828916,3244.1766761397594,False
360wd_mean_ws_1deg,3,73,Two-step,72.48814925828916,3285.263063139748,False
360wd_mean_ws_1deg,3,74,Two-step,72.48814925828916,3330.12879333974,False
360wd_mean_ws_1deg,3,75,Two-step,72.49568973160548,3373.115275039745,False
360wd_mean_ws_1deg,3,76,Two-step,72.49568973160548,3414.4854561397515,False
360wd_mean_ws_1deg,3,77,Two-step,72.49685266829464,3457.5084355397557,False
360wd_mean_ws_1deg,3,78,Two-step,72.49685266829464,3502.2007920397446,False
360wd_mean_ws_1deg,3,79,Two-step,72.49685266829464,3543.8346768397605,False
360wd_mean_ws_1deg,3,80,Two-step,72.49685266829464,3585.7963778397534,False
360wd_mean_ws_1deg,3,81,Two-step,72.49685266829464,3629.809226439742,False
360wd_mean_ws_1deg,3,82,Two-step,72.49685266829464,3671.7023261397553,False
360wd_mean_ws_1deg,3,83,Two-step,72.49685266829464,3713.908362139744,False
360wd_mean_ws_1deg,3,84,Two-step,72.49685266829464,3757.4149632397457,False
360wd_mean_ws_1deg,3,85,Two-step,72.49685266829464,3799.9424810397613,False
360wd_mean_ws_1deg,3,86,Two-step,72.49685266829464,3841.666744639748,False
360wd_mean_ws_1deg,3,87,Two-step,72.49814527535364,3885.158012339758,False
360wd_mean_ws_1deg,3,88,Two-step,72.49814527535364,3926.082666039758,False
360wd_mean_ws_1deg,3,89,Two-step,72.49814527535364,3968.9521470397594,False
360wd_mean_ws_1deg,3,90,Two-step,72.49814527535364,4012.106891739735,False
360wd_mean_ws_1deg,3,91,Two-step,72.50399548145526,4054.372149539762,False
360wd_mean_ws_1deg,3,92,Two-step,72.50399548145526,4097.154228939762,False
360wd_mean_ws_1deg,3,93,Two-step,72.50399548145526,4141.6174844397465,False
360wd_mean_ws_1deg,3,94,Two-step,72.50399548145526,4184.119858339749,False
360wd_mean_ws_1deg,3,95,Two-step,72.50399548145526,4226.558413139748,False
360wd_mean_ws_1deg,3,96,Two-step,72.50399548145526,4269.501176139747,False
360wd_mean_ws_1deg,3,97,Two-step,72.50399548145526,4312.010147739755,False
360wd_mean_ws_1deg,3,98,Two-step,72.50399548145526,4354.415591439756,False
360wd_mean_ws_1deg,3,99,Two-step,72.50399548145526,4398.681817839737,False
360wd_mean_ws_1deg,3,100,Two-step,72.50399548145526,4443.053619839746,False
360wd_mean_ws_1deg,3,101,Two-step,72.50399548145526,4485.125746539736,False
