run_name,seed,iteration,phase,AEP [GWh],elapsed_sec,using_site_bins
72wd_mean_ws,3,0,SmartStart,72.1690293873433,71.76205611228943,False
72wd_mean_ws,3,1,Two-step,72.18427852129672,83.61791321227793,False
72wd_mean_ws,3,2,Two-step,72.22512430536062,96.21697371228947,False
72wd_mean_ws,3,3,Two-step,72.25599980112125,108.95597861226997,False
72wd_mean_ws,3,4,Two-step,72.25599980112125,121.77423781226389,False
72wd_mean_ws,3,5,Two-step,72.25599980112125,134.06910031227744,False
72wd_mean_ws,3,6,Two-step,72.25599980112125,146.45718081228551,False
72wd_mean_ws,3,7,Two-step,72.27634109944132,158.9527724122745,False
72wd_mean_ws,3,8,Two-step,72.28975521479427,171.15217271228903,False
72wd_mean_ws,3,9,Two-step,72.2906070352069,183.4753346122743,False
72wd_mean_ws,3,10,Two-step,72.2906070352069,195.5637300122762,False
72wd_mean_ws,3,11,Two-step,72.29425536179377,208.02800891228253,False
72wd_mean_ws,3,12,Two-step,72.29425536179377,221.11839491227875,False
72wd_mean_ws,3,13,Two-step,72.3120641915518,233.79213061227347,False
72wd_mean_ws,3,14,Two-step,72.32966736252317,245.9733673122828,False
72wd_mean_ws,3,15,Two-step,72.32966736252317,257.82024331227876,False
72wd_mean_ws,3,16,Two-step,72.32966736252317,271.5723386122845,False
72wd_mean_ws,3,17,Two-step,72.33804467707287,284.2839710122789,False
72wd_mean_ws,3,18,Two-step,72.33804467707287,296.9277906122734,False
72wd_mean_ws,3,19,Two-step,72.33804467707287,309.4063732122886,False
72wd_mean_ws,3,20,Two-step,72.34027190784383,321.3455860122631,False
72wd_mean_ws,3,21,Two-step,72.34027190784383,334.08192531226086,False
72wd_mean_ws,3,22,Two-step,72.34027190784383,346.5285675122868,False
72wd_mean_ws,3,23,Two-step,72.35577485897522,359.3564349122753,False
72wd_mean_ws,3,24,Two-step,72.35577485897522,371.24267481226707,False
72wd_mean_ws,3,25,Two-step,72.35577485897522,383.8366211122775,False
72wd_mean_ws,3,26,Two-step,72.35577485897522,396.1729218122782,False
72wd_mean_ws,3,27,Two-step,72.35577485897522,408.55719081228017,False
72wd_mean_ws,3,28,Two-step,72.35577485897522,420.25080401226296,False
72wd_mean_ws,3,29,Two-step,72.35577485897522,432.7499494122749,False
72wd_mean_ws,3,30,Two-step,72.35577485897522,445.81216821228736,False
72wd_mean_ws,3,31,Two-step,72.36032885957121,458.19200721228844,False
72wd_mean_ws,3,32,Two-step,72.36032885957121,471.15900691226125,False
72wd_mean_ws,3,33,Two-step,72.36048389555768,482.85991801228374,False
72wd_mean_ws,3,34,Two-step,72.36048389555768,495.21435981226387,False
72wd_mean_ws,3,35,Two-step,72.36048389555768,507.6248865122616,False
72wd_mean_ws,3,36,Two-step,72.36048389555768,520.6893350122846,False
72wd_mean_ws,3,37,Two-step,72.366180352003,533.1949127122643,False
72wd_mean_ws,3,38,Two-step,72.38465610667225,545.6579116122739,False
