script,wake_model,seed,opt_bin_label,method,Fine AEP [GWh],eval_wd_step_deg,eval_n_wd,eval_ws_step,eval_ws_min,eval_ws_max
ResultsSS,NOJ,2,5 deg bins,SS--2S--GB,714.8069940713654,1,360,1,3,25
ResultsSS,NOJ,2,5 deg bins,SS--GB,712.4610690302246,1,360,1,3,25
ResultsSS,NOJ,3,10 deg bins,Current Horns Rev,701.8653557500002,1,360,1,3,25
ResultsSS,NOJ,3,10 deg bins,SS,712.3267720782876,1,360,1,3,25
ResultsSS,NOJ,3,10 deg bins,SS--2S,714.6185206954667,1,360,1,3,25
ResultsSS,NOJ,3,10 deg bins,SS--2S--GB,714.6185206954667,1,360,1,3,25
ResultsSS,NOJ,3,10 deg bins,SS--GB,713.0367827778098,1,360,1,3,25
ResultsSS,NOJ,3,5 deg bins,Current Horns Rev,701.8653557500002,1,360,1,3,25
ResultsSS,NOJ,3,5 deg bins,SS,712.3267720782876,1,360,1,3,25
ResultsSS,NOJ,3,5 deg bins,SS--2S,714.9942065854406,1,360,1,3,25
ResultsSS,NOJ,3,5 deg bins,SS--2S--GB,714.9942065854406,1,360,1,3,25
ResultsSS,NOJ,3,5 deg bins,SS--GB,712.3267720782876,1,360,1,3,25
ResultsSS,NOJ,4,10 deg bins,Current Horns Rev,701.8653557500002,1,360,1,3,25
ResultsSS,NOJ,4,10 deg bins,SS,712.036728916994,1,360,1,3,25
ResultsSS,NOJ,4,10 deg bins,SS--2S,714.5976565729311,1,360,1,3,25
ResultsSS,NOJ,4,10 deg bins,SS--2S--GB,714.5976565729311,1,360,1,3,25
ResultsSS,NOJ,4,10 deg bins,SS--GB,713.0315135646902,1,360,1,3,25
ResultsSS,NOJ,4,5 deg bins,Current Horns Rev,701.8653557500002,1,360,1,3,25
ResultsSS,NOJ,4,5 deg bins,SS,712.036728916994,1,360,1,3,25
ResultsSS,NOJ,4,5 deg bins,SS--2S,714.6826359487975,1,360,1,3,25
ResultsSS,NOJ,4,5 deg bins,SS--2S--GB,714.6826359487975,1,360,1,3,25
ResultsSS,NOJ,4,5 deg bins,SS--GB,712.036728916994,1,360,1,3,25
ResultsSS,NOJ,5,10 deg bins,Current Horns Rev,701.8653557500002,1,360,1,3,25
ResultsSS,NOJ,5,10 deg bins,SS,712.3272656645681,1,360,1,3,25
ResultsSS,NOJ,5,10 deg bins,SS--2S,714.4457711262271,1,360,1,3,25
ResultsSS,NOJ,5,10 deg bins,SS--2S--GB,714.4457711262271,1,360,1,3,25
ResultsSS,NOJ,5,10 deg bins,SS--GB,712.9413405591282,1,360,1,3,25
ResultsSS,NOJ,5,5 deg bins,Current Horns Rev,701.8653557500002,1,360,1,3,25
ResultsSS,NOJ,5,5 deg bins,SS,712.3272656645681,1,360,1,3,25
ResultsSS,NOJ,5,5 deg bins,SS--2S,714.8439713195792,1,360,1,3,25
ResultsSS,NOJ,5,5 deg bins,SS--2S--GB,714.8439713195792,1,360,1,3,25
ResultsSS,NOJ,5,5 deg bins,SS--GB,712.3272656645681,1,360,1,3,25
