wake_model,seed,gradient_iterations,method,AEP [GWh],Improvement over Horns Rev [GWh],Improvement over SmartStart [GWh],runtime_sec,recorded_gradient_iterations,smartstart_seed,smartstart_random_pct,row_type,run_name,script,gradient_iterations_setting,iteration,phase,elapsed_sec,timing_source
NOJ,1,,,72.27765953724,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,0.0,Gradient,0.0,interpolated_from_total_runtime
NOJ,1,,,72.27765953724,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,1.0,Gradient,1.4852406217402818,interpolated_from_total_runtime
NOJ,1,,,72.27765953724,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,2.0,Gradient,2.9704812434805636,interpolated_from_total_runtime
NOJ,1,,,72.27766088101683,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,3.0,Gradient,4.455721865220846,interpolated_from_total_runtime
NOJ,1,,,72.27766759994928,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,4.0,Gradient,5.940962486961127,interpolated_from_total_runtime
NOJ,1,,,72.27770119568973,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,5.0,Gradient,7.426203108701409,interpolated_from_total_runtime
NOJ,1,,,72.27786920120982,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,6.0,Gradient,8.911443730441691,interpolated_from_total_runtime
NOJ,1,,,72.27870986326505,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,7.0,Gradient,10.396684352181973,interpolated_from_total_runtime
NOJ,1,,,72.2829302872079,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,8.0,Gradient,11.881924973922255,interpolated_from_total_runtime
NOJ,1,,,72.30446733243649,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,9.0,Gradient,13.367165595662536,interpolated_from_total_runtime
NOJ,1,,,72.38866092282379,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,10.0,Gradient,14.852406217402818,interpolated_from_total_runtime
NOJ,1,,,72.42876175918255,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,11.0,Gradient,16.3376468391431,interpolated_from_total_runtime
NOJ,1,,,72.43694819336793,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,12.0,Gradient,17.822887460883383,interpolated_from_total_runtime
NOJ,1,,,72.43771076401728,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,13.0,Gradient,19.308128082623664,interpolated_from_total_runtime
NOJ,1,,,72.43777091433113,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,14.0,Gradient,20.793368704363946,interpolated_from_total_runtime
