wake_model,bin_case,n_wd,n_ws,speed_mode,method,aep_mean,aep_std,runtime_mean_sec,runtime_std_sec,n_runs
NOJ,12wd_11ws,12,2,speed_bins,Baseline,758.3464815548651,0.0,0.21285835901896158,0.09877813191449884,3
NOJ,12wd_11ws,12,2,speed_bins,SS--2S,759.3974935041779,0.03681243304144907,2646.695659240087,803.4864589817433,3
NOJ,12wd_11ws,12,2,speed_bins,SmartStart,758.8797878706872,0.033409373354095336,74.75300240516663,26.961033966317363,3
NOJ,24wd_mean_ws,24,1,mean_ws,Baseline,70.21194741847633,0.0,0.14834380149841309,0.035242333390360696,3
NOJ,24wd_mean_ws,24,1,mean_ws,SS--2S,72.85753014842159,0.028814932665901943,2963.7793486118317,678.5830532909208,3
NOJ,24wd_mean_ws,24,1,mean_ws,SmartStart,72.56405999953745,0.010740078763550752,94.55800366401672,11.144304393339695,3
NOJ,36wd_2ws,36,11,speed_bins,Baseline,703.9564079589294,0.0,0.21784520149230957,0.10913974058775797,3
NOJ,36wd_2ws,36,11,speed_bins,SS--2S,716.6888753148537,0.23176404872470646,4204.681324164073,854.6784548812133,3
NOJ,36wd_2ws,36,11,speed_bins,SmartStart,714.0370656686995,0.2181260827661104,85.75576035181682,25.288020395048594,3
NOJ,36wd_5p5ws,36,4,speed_bins,Baseline,685.6469792305994,0.0,0.22143999735514322,0.11996980796776112,3
NOJ,36wd_5p5ws,36,4,speed_bins,SS--2S,695.9964415946033,0.1529329177007186,3457.663062095642,824.0841568943026,3
NOJ,36wd_5p5ws,36,4,speed_bins,SmartStart,694.1020150734752,0.1458764246361633,88.96229823430379,21.228798213272235,3
NOJ,36wd_mean_ws,36,1,mean_ws,Baseline,70.47447376426608,0.0,0.13525938987731934,0.02200884102027417,3
NOJ,36wd_mean_ws,36,1,mean_ws,SS--2S,73.04219372710999,0.054634390979175086,3517.1126958529153,391.97209566911704,3
NOJ,36wd_mean_ws,36,1,mean_ws,SmartStart,72.53638419135932,0.038590747308251225,85.55532360076904,25.073144156061193,3
NOJ,72wd_mean_ws,72,1,mean_ws,Baseline,70.00978952706822,0.0,0.19214566548665366,0.10287011131469596,3
NOJ,72wd_mean_ws,72,1,mean_ws,SS--2S,72.54322209529755,0.02111458490124941,3065.3877097765603,627.6451474989109,3
NOJ,72wd_mean_ws,72,1,mean_ws,SmartStart,72.37941776157159,0.018235157409485,89.01694385210673,26.732643866589903,3
NOJ,site_bins_existing_csv,13,23,site_bins,SS--2S,714.8099388041155,,63828.50878906262,,1
NOJ,site_bins_existing_csv,13,23,site_bins,SmartStart,714.0662667435868,,88.15107846260071,,1
