run_name,seed,iteration,phase,AEP [GWh],elapsed_sec,using_site_bins
36wd_5p5ws,2,0,SmartStart,694.1814677085029,99.8960177898407,False
36wd_5p5ws,2,1,Two-step,694.2260292407738,124.1406689898431,False
36wd_5p5ws,2,2,Two-step,694.2260292407738,148.32749648984463,False
36wd_5p5ws,2,3,Two-step,694.3232938882697,172.58501528984925,False
36wd_5p5ws,2,4,Two-step,694.3232938882697,196.13383948984847,False
36wd_5p5ws,2,5,Two-step,694.3232938882697,221.6969926898455,False
36wd_5p5ws,2,6,Two-step,694.3232938882697,246.01429228985216,False
36wd_5p5ws,2,7,Two-step,694.3232938882697,269.7495680898428,False
36wd_5p5ws,2,8,Two-step,694.3232938882697,294.391606589852,False
36wd_5p5ws,2,9,Two-step,694.3232938882697,320.8705893898441,False
36wd_5p5ws,2,10,Two-step,694.3232938882697,345.565671689852,False
36wd_5p5ws,2,11,Two-step,694.3232938882697,370.2597536898538,False
36wd_5p5ws,2,12,Two-step,694.3232938882697,393.6337838898471,False
36wd_5p5ws,2,13,Two-step,694.3232938882697,420.98666938985116,False
36wd_5p5ws,2,14,Two-step,694.3306596705852,444.90456248984265,False
36wd_5p5ws,2,15,Two-step,694.3655323404485,469.2599605898431,False
36wd_5p5ws,2,16,Two-step,694.4032974561449,493.47183968985337,False
36wd_5p5ws,2,17,Two-step,694.5168574474502,517.4672215898463,False
36wd_5p5ws,2,18,Two-step,694.5168574474502,541.7144409898465,False
36wd_5p5ws,2,19,Two-step,694.5168574474502,565.4783996898477,False
36wd_5p5ws,2,20,Two-step,694.5168574474502,590.5329020898498,False
36wd_5p5ws,2,21,Two-step,694.5168574474502,615.3663477898517,False
36wd_5p5ws,2,22,Two-step,694.5168574474502,640.1791083898424,False
36wd_5p5ws,2,23,Two-step,694.5384214307383,664.6936705898406,False
36wd_5p5ws,2,24,Two-step,694.5384214307383,689.8568012898468,False
36wd_5p5ws,2,25,Two-step,694.5384214307383,713.7187721898517,False
36wd_5p5ws,2,26,Two-step,694.6637833013209,739.0862332898541,False
36wd_5p5ws,2,27,Two-step,694.692167129414,763.8689162898518,False
36wd_5p5ws,2,28,Two-step,694.692167129414,789.206525489848,False
36wd_5p5ws,2,29,Two-step,694.692167129414,815.2519558898493,False
36wd_5p5ws,2,30,Two-step,694.692167129414,839.7656398898544,False
36wd_5p5ws,2,31,Two-step,694.692167129414,865.5348711898405,False
36wd_5p5ws,2,32,Two-step,694.692167129414,889.7884448898403,False
36wd_5p5ws,2,33,Two-step,694.767241883049,915.5595270898484,False
36wd_5p5ws,2,34,Two-step,694.767241883049,940.5618711898423,False
36wd_5p5ws,2,35,Two-step,694.852310996722,965.5449164898455,False
36wd_5p5ws,2,36,Two-step,694.855319532388,991.3407001898449,False
36wd_5p5ws,2,37,Two-step,694.855319532388,1015.5989548898506,False
36wd_5p5ws,2,38,Two-step,694.855319532388,1041.1912112898426,False
36wd_5p5ws,2,39,Two-step,694.855319532388,1065.7228005898505,False
36wd_5p5ws,2,40,Two-step,694.855319532388,1091.136244689842,False
36wd_5p5ws,2,41,Two-step,694.855319532388,1117.09636528985,False
36wd_5p5ws,2,42,Two-step,694.855319532388,1141.2477805898525,False
36wd_5p5ws,2,43,Two-step,694.855319532388,1167.2932069898525,False
36wd_5p5ws,2,44,Two-step,694.855319532388,1192.1756284898438,False
36wd_5p5ws,2,45,Two-step,694.855319532388,1217.9745677898463,False
36wd_5p5ws,2,46,Two-step,694.855319532388,1243.5027487898478,False
36wd_5p5ws,2,47,Two-step,694.855319532388,1267.929590189844,False
36wd_5p5ws,2,48,Two-step,694.9034874891688,1293.400927789844,False
36wd_5p5ws,2,49,Two-step,694.9723346401775,1319.2313917898427,False
36wd_5p5ws,2,50,Two-step,694.9723346401775,1345.0353920898488,False
36wd_5p5ws,2,51,Two-step,694.9964595245735,1370.4056125898496,False
36wd_5p5ws,2,52,Two-step,694.9985097532428,1396.1141944898409,False
36wd_5p5ws,2,53,Two-step,694.9985097532428,1421.7029310898506,False
36wd_5p5ws,2,54,Two-step,695.0812435198749,1447.2267623898515,False
36wd_5p5ws,2,55,Two-step,695.153838943286,1474.0015515898413,False
36wd_5p5ws,2,56,Two-step,695.153838943286,1499.6514443898486,False
36wd_5p5ws,2,57,Two-step,695.1723854068944,1526.371792089849,False
36wd_5p5ws,2,58,Two-step,695.1964517267907,1553.7614153898467,False
36wd_5p5ws,2,59,Two-step,695.2496285754337,1579.0903260898485,False
36wd_5p5ws,2,60,Two-step,695.2819468482247,1605.6484431898425,False
36wd_5p5ws,2,61,Two-step,695.2819468482247,1632.6476542898454,False
36wd_5p5ws,2,62,Two-step,695.2819468482247,1658.2233997898438,False
36wd_5p5ws,2,63,Two-step,695.2819468482247,1685.0383708898444,False
36wd_5p5ws,2,64,Two-step,695.2819468482247,1711.7104437898524,False
36wd_5p5ws,2,65,Two-step,695.2819468482247,1738.3284480898437,False
36wd_5p5ws,2,66,Two-step,695.2819468482247,1764.6175584898447,False
36wd_5p5ws,2,67,Two-step,695.2819468482247,1791.174453589847,False
36wd_5p5ws,2,68,Two-step,695.2902604823782,1817.4369779898407,False
36wd_5p5ws,2,69,Two-step,695.3518143817726,1843.9459136898513,False
36wd_5p5ws,2,70,Two-step,695.4099844248371,1871.5245221898513,False
36wd_5p5ws,2,71,Two-step,695.4099844248371,1897.1863646898419,False
36wd_5p5ws,2,72,Two-step,695.4659442727484,1924.241958989849,False
36wd_5p5ws,2,73,Two-step,695.5533067613272,1950.7135843898432,False
36wd_5p5ws,2,74,Two-step,695.6046538496,1977.0892789898498,False
36wd_5p5ws,2,75,Two-step,695.6046538496,2004.4300389898417,False
36wd_5p5ws,2,76,Two-step,695.6046538496,2031.2578309898527,False
36wd_5p5ws,2,77,Two-step,695.6046538496,2057.4737997898483,False
36wd_5p5ws,2,78,Two-step,695.6393265415759,2084.4026950898406,False
36wd_5p5ws,2,79,Two-step,695.6393265415759,2113.6618855898414,False
36wd_5p5ws,2,80,Two-step,695.6393265415759,2140.1646878898464,False
36wd_5p5ws,2,81,Two-step,695.6393265415759,2167.9557048898423,False
36wd_5p5ws,2,82,Two-step,695.6393265415759,2195.7186894898477,False
36wd_5p5ws,2,83,Two-step,695.6393265415759,2223.037110589852,False
36wd_5p5ws,2,84,Two-step,695.6393265415759,2250.3473681898467,False
36wd_5p5ws,2,85,Two-step,695.6393265415759,2277.292018489854,False
36wd_5p5ws,2,86,Two-step,695.6393265415759,2305.0435728898447,False
36wd_5p5ws,2,87,Two-step,695.6393265415759,2332.279635289844,False
36wd_5p5ws,2,88,Two-step,695.6393265415759,2360.352155189845,False
36wd_5p5ws,2,89,Two-step,695.6393265415759,2388.5342751898424,False
36wd_5p5ws,2,90,Two-step,695.6993270095159,2415.741559289847,False
36wd_5p5ws,2,91,Two-step,695.6993270095159,2443.543039189841,False
36wd_5p5ws,2,92,Two-step,695.6993270095159,2470.597099289851,False
36wd_5p5ws,2,93,Two-step,695.6993270095159,2498.787551389847,False
36wd_5p5ws,2,94,Two-step,695.6993270095159,2524.851089989854,False
36wd_5p5ws,2,95,Two-step,695.6993270095159,2552.896867789852,False
36wd_5p5ws,2,96,Two-step,695.6993270095159,2580.247604289849,False
36wd_5p5ws,2,97,Two-step,695.6993270095159,2607.727291289848,False
36wd_5p5ws,2,98,Two-step,695.6993270095159,2634.396426789841,False
36wd_5p5ws,2,99,Two-step,695.6993270095159,2661.82821578985,False
36wd_5p5ws,2,100,Two-step,695.6993270095159,2689.873058989848,False
36wd_5p5ws,2,101,Two-step,695.6993270095159,2716.838544889848,False
36wd_5p5ws,2,102,Two-step,695.6993270095159,2744.3396118898527,False
